epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,160.761,0.95907,0.45906,0.01424,0.99175,0.98306,0.9932,0.8282,0.7055,0.23797,0.0116,0.0008714,0.0008714,0.0008714
59,321.587,0.96293,0.46234,0.01439,0.97985,0.98093,0.99248,0.83581,0.6946,0.23111,0.01171,0.0008516,0.0008516,0.0008516
60,480.072,0.96315,0.46009,0.01458,0.9733,0.99183,0.99288,0.83462,0.68534,0.22336,0.01121,0.0008318,0.0008318,0.0008318
61,641.61,0.93724,0.44027,0.01366,0.98378,0.98638,0.99171,0.83445,0.67654,0.21448,0.01093,0.000812,0.000812,0.000812
62,799.655,0.93854,0.44052,0.01389,0.98329,0.98638,0.99337,0.83724,0.68345,0.22091,0.01142,0.0007922,0.0007922,0.0007922
63,958.087,0.95158,0.4558,0.01431,0.97859,0.99643,0.99157,0.83475,0.66987,0.21319,0.01095,0.0007724,0.0007724,0.0007724
64,1118.83,0.93798,0.43414,0.01394,0.97338,0.9962,0.99201,0.82999,0.71264,0.22158,0.0121,0.0007526,0.0007526,0.0007526
65,1283.16,0.92705,0.4297,0.0139,0.97293,0.99183,0.99243,0.83838,0.68782,0.21596,0.01132,0.0007328,0.0007328,0.0007328
66,1446.79,0.92493,0.44079,0.01363,0.98874,0.97548,0.99277,0.84601,0.64845,0.21617,0.01055,0.000713,0.000713,0.000713
67,1618.2,0.92275,0.43622,0.01359,0.98055,0.98093,0.99299,0.85356,0.63756,0.22443,0.01042,0.0006932,0.0006932,0.0006932
68,1780.89,0.90633,0.41907,0.01325,0.98909,0.98804,0.99315,0.83448,0.67152,0.21199,0.01115,0.0006734,0.0006734,0.0006734
69,1940.13,0.91731,0.42223,0.01304,0.97818,0.97719,0.99321,0.84399,0.66799,0.22529,0.01098,0.0006536,0.0006536,0.0006536
70,2110.29,0.91672,0.4052,0.01351,0.98521,0.9891,0.99239,0.83922,0.66584,0.22214,0.01102,0.0006338,0.0006338,0.0006338
71,2274.28,0.89372,0.4101,0.01313,0.98637,0.98569,0.99232,0.8423,0.65046,0.2212,0.01053,0.000614,0.000614,0.000614
72,2432.78,0.88859,0.41372,0.01315,0.97744,0.99183,0.99208,0.85101,0.64592,0.22214,0.01028,0.0005942,0.0005942,0.0005942
73,2597.51,0.88634,0.40732,0.01338,0.97579,0.98862,0.99335,0.84758,0.64229,0.2187,0.01043,0.0005744,0.0005744,0.0005744
74,2755.87,0.8675,0.40203,0.01292,0.98901,0.9806,0.99306,0.84533,0.64514,0.22254,0.01037,0.0005546,0.0005546,0.0005546
75,2913.93,0.86856,0.4108,0.01264,0.98927,0.98093,0.99286,0.84147,0.65302,0.21942,0.01044,0.0005348,0.0005348,0.0005348
76,3071.71,0.86376,0.41144,0.01275,0.98903,0.98299,0.99301,0.85107,0.64365,0.21239,0.01024,0.000515,0.000515,0.000515
77,3231.3,0.85582,0.40505,0.0127,0.98839,0.9891,0.99397,0.84309,0.6498,0.2108,0.01035,0.0004952,0.0004952,0.0004952
78,3406.34,0.85124,0.38188,0.01228,0.99175,0.98284,0.99345,0.84635,0.65095,0.21245,0.01037,0.0004754,0.0004754,0.0004754
79,3582.15,0.85359,0.38152,0.01252,0.98116,0.9933,0.99263,0.84962,0.63834,0.2125,0.01,0.0004556,0.0004556,0.0004556
80,3739.96,0.83599,0.38981,0.01209,0.98121,0.99583,0.99327,0.85236,0.63524,0.19955,0.01009,0.0004358,0.0004358,0.0004358
